Id,Cover_Type
4429,4
12400,4
4648,4
5954,4
2947,3
9253,1
3472,4
3079,7
10572,1
11892,7
10170,7
3031,3
11433,1
4604,4
1570,2
13589,3
1862,7
5119,6
13437,4
11007,3
3993,4
14036,7
15024,3
32,5
13551,1
34,5
9934,1
1993,5
8253,3
10140,1
11996,3
12472,4
13443,2
14427,1
644,2
2761,6
4302,4
9794,2
14531,7
5626,4
9910,1
12195,3
4805,6
5898,6
10387,7
3832,4
12752,6
2437,5
8199,1
14167,3
3804,4
12193,4
13512,5
1524,5
6972,1
5983,6
1668,7
14879,2
9133,1
2504,3
6473,1
3214,4
6379,6
3559,4
4753,4
341,2
6880,1
4245,4
6630,2
8101,5
3177,3
10058,5
12252,4
13926,5
13842,1
8967,1
14178,5
5304,4
6317,5
5610,3
7640,3
8058,1
13219,6
9343,7
11437,1
10847,3
4947,4
9099,2
12359,4
10724,6
14814,7
9109,1
13574,5
155,2
13267,7
273,2
3000,4
846,1
676,2
8461,3
3862,4
10363,1
6107,6
5668,4
7151,7
6738,5
1979,2
921,5
13920,7
504,2
9162,1
1458,2
490,1
13297,7
5773,6
3145,1
1973,2
12459,4
8167,6
11345,5
578,2
2977,4
7545,3
14574,7
1192,5
5167,5
8489,1
1173,5
14371,1
13627,5
10442,7
9563,7
6699,5
8351,5
3497,4
8591,5
1477,2
12480,4
10670,6
7085,6
11640,2
14472,7
11858,2
1984,5
777,1
8483,1
1582,5
10691,6
10727,6
11503,2
8482,1
4042,4
4702,3
10698,1
5565,3
3676,3
6801,3
13651,7
9105,1
5799,6
6086,6
2385,6
4673,5
13473,5
11970,3
10347,1
6021,1
11066,6
2510,5
11217,3
4700,3
3160,4
9833,7
4145,4
4440,4
11576,2
13906,3
2338,4
5756,3
4485,4
11413,2
10325,7
11281,6
4003,4
13537,5
12942,6
12284,5
13022,6
8711,2
6983,7
11530,2
11131,3
8791,6
468,2
9580,2
6578,7
3649,4
12203,5
13764,3
11968,1
2874,3
7909,7
10486,7
12742,2
12545,4
453,2
9827,1
2820,6
11163,3
12962,5
5473,4
853,2
12489,4
1818,2
7738,6
1671,5
2229,4
2007,6
9956,1
9707,2
9560,7
4173,4
3062,2
8414,5
5584,7
12605,6
4893,4
6286,6
14297,1
14635,7
7281,1
4709,6
12070,4
3224,5
10083,1
13668,5
2394,5
8741,5
13260,4
5850,3
14505,1
12315,4
12372,6
10597,2
1596,5
9171,7
7592,6
13710,6
8136,6
13804,5
10445,7
4503,6
1275,1
1419,1
4909,6
6434,2
12734,4
9279,7
951,2
12692,3
7038,7
11334,3
4098,4
9079,2
4222,4
3999,4
11690,2
11826,5
12099,2
2918,1
3198,3
4584,3
13014,3
4638,3
1097,1
11442,2
522,1
975,5
11397,2
1749,7
3369,4
4640,3
1598,5
3049,3
9155,7
1359,1
5335,4
215,2
3715,4
12686,3
10315,7
11943,5
620,2
9867,7
953,5
7238,3
2552,6
2201,4
4215,3
281,2
12194,3
5269,3
9738,2
398,5
5774,6
9309,1
520,2
6851,2
7119,1
3486,4
9620,7
9431,1
14312,1
4189,4
1392,1
11844,5
6601,2
9977,7
6146,2
8676,5
1688,1
3094,4
12618,3
4130,4
6278,6
2697,3
1742,5
576,2
2908,3
6302,4
9806,1
5958,4
8723,6
14820,1
5529,7
12890,4
6227,6
4728,4
11353,5
1639,2
10822,3
5063,4
11615,1
5751,4
10884,3
642,5
12877,6
13073,6
5585,3
7436,3
11814,5
10190,1
13476,2
326,2
7184,5
5548,6
14055,1
8070,5
4116,5
5859,7
8980,1
7405,5
14199,2
7069,5
655,1
12036,5
8219,5
221,2
11106,6
3796,4
10455,7
6989,5
14977,3
12723,4
6778,5
7023,7
4727,3
9783,7
1986,6
7220,1
14544,1
13902,7
12629,4
13568,3
10619,2
7135,5
9237,7
10779,3
12960,2
11833,1
4411,3
12778,3
2091,4
11861,2
14959,6
8920,1
4788,4
10064,7
3865,4
5942,6
11485,5
12556,5
11748,5
2760,2
10451,1
4952,4
11311,6
11874,5
13048,3
12027,6
5192,4
4675,4
11730,2
4020,4
5772,6
12165,6
9564,2
14561,7
9706,2
5048,3
2360,3
5477,4
13294,3
143,2
9584,2
14492,7
6481,2
12087,2
14603,1
3975,6
9054,7
14870,6
12994,4
13758,3
8254,3
6110,4
12326,4
14359,7
10834,6
13993,7
14458,7
6106,6
13223,2
4701,4
7706,7
9533,7
3026,4
3024,3
10187,2
13367,6
14616,7
6322,6
792,2
168,2
487,2
12105,6
12167,5
10231,1
9933,1
8895,1
6456,1
14382,1
7976,7
4023,6
9136,1
7676,7
11428,2
12876,4
6734,5
3036,4
3052,3
4644,4
12463,4
1348,5
889,5
8532,5
1525,1
15091,3
4688,4
9183,7
1554,1
11902,5
6935,7
12258,6
8172,3
2090,6
5074,3
19,5
3586,4
12374,4
14902,6
6265,6
9579,2
11373,2
1472,5
14420,7
928,2
7215,7
6494,6
13397,6
1002,1
5809,1
8176,6
14551,7
46,5
1970,1
12895,4
2573,6
12924,3
13192,6
1036,1
13836,7
2916,3
3661,4
13156,6
432,2
8504,1
13020,4
14132,5
6754,3
4085,3
2750,6
6367,6
11256,6
12898,4
13598,5
13252,3
7473,2
5014,3
6369,3
562,2
12232,4
5925,6
1251,1
2418,5
1521,1
2628,4
5624,6
14083,6
3636,5
279,2
13256,3
12393,4
2106,6
12375,4
9612,7
6004,6
12533,4
400,2
7908,7
9049,2
6678,3
7420,7
4704,4
1920,6
8784,1
13630,3
3933,3
9093,7
9835,7
6112,6
9259,7
10821,3
14469,1
2703,6
13377,6
5069,4
10610,7
8675,1
1496,5
14567,2
3295,4
1587,1
5482,4
13848,6
2093,3
1181,1
9110,1
13558,5
11044,3
3018,6
1125,2
13893,2
10327,7
13901,1
8586,1
11545,5
1944,2
8002,5
10309,7
7305,1
1871,3
14381,1
9015,1
9487,7
11693,2
12780,3
3100,4
1461,1
8314,6
10665,6
5108,4
5558,7
8702,5
7295,7
3601,4
8174,6
8877,5
2586,5
2981,4
14811,7
9818,1
548,2
6061,6
1284,5
13679,1
7754,7
12066,5
5054,3
14585,2
11075,6
7766,2
